submission_pk,User,score
403330,jgc128,22563.250 (1),
403335,brian_m,22563.250 (1),
403366,mrkhartmann4,22563.250 (1),
403377,florianmai,22563.250 (1),
403457,MicroMappers,22563.250 (1),
403473,kyleliang919,22563.250 (1),
403486,bnns,22563.250 (1),
403488,neelvr,22563.250 (1),
403496,Tsang,22563.250 (1),
403534,daysm,22563.250 (1),
403545,jaminriedel,22563.250 (1),
403625,isabelle.ingato,22563.250 (1),
403631,martineb,22563.250 (1),
403634,gayathrir,22563.250 (1),
403640,enoriega87,22563.250 (1),
403642,rldavis,22563.250 (1),
403661,Gavin,22563.250 (1),
403538,gpitsilis,22563.000 (2),
403647,shangjingbo_uiuc,22561.000 (3),
403576,athene,22551.500 (4),
403450,ezequiels,21943.500 (5),
403645,contentcheck,21897.250 (6),
403616,gtri,21613.500 (7),
403578,stefanieqiu,21214.750 (8),
403408,pebo01,20888.250 (9),
403564,seanbaird,9090.000 (10),
403662,OSUfnc2017,7363.750 (11),
403632,amblock,1572.500 (12),
