submission_pk,User,score
404231,seanbaird,9556.500 (1),
404214,athene,9550.750 (2),
404189,jaminriedel,9521.500 (3),
404185,shangjingbo_uiuc,9345.500 (4),
404142,enoriega87,9289.500 (5),
404238,florianmai,9285.000 (6),
404228,OSUfnc2017,9280.500 (7),
404197,humeaum,9271.500 (8),
403966,pebo01,9270.250 (9),
404194,gtri,9243.000 (10),
404257,jamesthorne,9219.500 (11),
404236,Tsang,9172.000 (12),
404133,Soyaholic,9146.250 (13),
403872,ezequiels,9117.500 (14),
404129,siliang,9103.750 (15),
404234,tagucci,9091.250 (16),
404062,neelvr,9090.750 (17),
404080,stefanieqiu,9083.250 (18),
404215,htanev,9081.250 (19),
404070,saradhix,9043.500 (20),
404137,acp16sz,8995.750 (21),
404176,Gavin,8969.750 (22),
404092,JAIST,8879.750 (23),
404114,subbareddy,8855.000 (24),
404256,vijayalakshmi,8812.000 (25),
404025,amblock,8797.500 (26),
404036,annaseg,8797.500 (26),
403978,Debanjan,8775.250 (27),
404183,johnnytorres83,8761.750 (28),
404086,avineshpvs,8539.500 (29),
403858,bnns,8349.750 (30),
404244,gayathrir,8322.750 (31),
404076,MBAN,8321.000 (32),
404242,Luna,8292.750 (33),
404209,martineb,8273.750 (34),
403809,contentcheck,8265.750 (35),
404204,vivek.datla,8125.750 (36),
404227,vikasy,7833.500 (37),
404175,barray,7778.250 (38),
404232,MicroMappers,7420.250 (39),
404082,borisnadion,7160.500 (40),
403913,etrrosenman,7106.750 (41),
404033,agrena,6909.750 (42),
404056,gpitsilis,6511.750 (43),
404224,mivenskaya,6494.750 (44),
403851,rldavis,5617.500 (45),
404065,isabelle.ingato,5298.500 (46),
404049,daysm,4911.000 (47),
404184,mrkhartmann4,4588.750 (48),
404106,bertslike,4506.500 (49),
