,Stance,Relevancy,,
0,unrelated,0.3556232452,1,
1,agree,0.8019032478,1,
2,unrelated,0.518253088,1,
3,unrelated,0.3092234135,1,
4,disagree,0.512152195,0,
5,agree,0.7967815995,1,
6,unrelated,0.3816893995,1,
7,unrelated,0.3263867497,1,
8,agree,0.6114652753,1,
9,unrelated,0.4647580087,1,
10,discuss,0.2068163455,0,
11,agree,0.7052984834,1,
12,unrelated,0.4123367071,1,
13,unrelated,0.5198363066,1,
14,discuss,0.4336129725,0,
15,unrelated,0.5795218945,1,
16,discuss,0.4332893193,0,
17,agree,0.4119631052,0,
18,unrelated,0.3105256557,1,
19,discuss,0.4763145149,0,
20,unrelated,0.2489304841,1,
21,discuss,0.6651034355,1,
22,unrelated,0.604231894,0,
23,unrelated,0.6411937475,0,
24,agree,0.4796514809,0,
25,agree,0.6504472494,1,
26,unrelated,0.3395159543,1,
27,unrelated,0.3939830065,1,
28,unrelated,0.3642299473,1,
29,discuss,0.634688735,1,
30,unrelated,0.4004075527,1,
31,discuss,0.6004048586,1,
32,unrelated,0.1146778911,1,
33,unrelated,0.4845875204,1,
34,unrelated,0.474891156,1,
35,discuss,0.5754932165,0,
36,agree,0.7511363029,1,
37,unrelated,0.2985925376,1,
38,unrelated,0.4468761683,1,
39,unrelated,0.4026397765,1,
40,unrelated,0.2750018835,1,
41,unrelated,0.3487214446,1,
42,unrelated,0.3630904555,1,
43,unrelated,0.4881429374,1,
44,unrelated,0.5246576667,1,
45,unrelated,0.6000205278,0,
46,agree,0.6347538829,1,
47,unrelated,0.2236338854,1,
48,unrelated,0.2532006204,1,
49,unrelated,0.3699389398,1,
50,unrelated,0.1957880855,1,
51,unrelated,0.4251467288,1,
52,unrelated,0.3211097121,1,
53,disagree,0.7387503982,1,
54,unrelated,0.4939643443,1,
55,agree,0.6407150626,1,
56,unrelated,0.2712580264,1,
57,unrelated,0.134035483,1,
58,unrelated,0.3138225973,1,
59,unrelated,0.3696734309,1,
60,disagree,0.6009805202,1,
61,unrelated,0.3358933926,1,
62,unrelated,0.4156436622,1,
63,unrelated,0.2878387272,1,
64,unrelated,0.3343161643,1,
65,unrelated,0.4416699708,1,
66,unrelated,0.3166936338,1,
67,discuss,0.7669095397,1,
68,unrelated,0.3764792383,1,
69,unrelated,0.294274956,1,
70,unrelated,0.1570872664,1,
71,unrelated,0.2589581311,1,
72,agree,0.587531209,0,
73,unrelated,0.2780720592,1,
74,unrelated,0.2506320775,1,
75,unrelated,0.5280620456,1,
76,unrelated,0.3194057345,1,
77,discuss,0.7470824718,1,
78,unrelated,0.4318421185,1,
79,unrelated,0.3843452632,1,
80,agree,0.5752441883,0,
81,unrelated,0.4678546488,1,
82,unrelated,0.4609034061,1,
83,unrelated,0.4265245497,1,
84,unrelated,0.4014011621,1,
85,unrelated,0.400855124,1,
86,discuss,0.6450363994,1,
87,agree,0.7292568088,1,
88,discuss,0.6508342624,1,
89,unrelated,0.315749824,1,
90,unrelated,0.6366713643,0,
91,unrelated,0.3686927259,1,
92,discuss,0.7088258266,1,
93,unrelated,0.3285592496,1,
94,unrelated,0.2536709011,1,
95,unrelated,0.4599161744,1,
96,unrelated,0.6471803784,0,
97,unrelated,0.4963914156,1,
98,unrelated,0.5286509395,1,
99,unrelated,0.3980109692,1,
100,unrelated,0.3599873185,1,
101,unrelated,0.5462691784,1,
102,unrelated,0.4122605324,1,
103,unrelated,0.481888473,1,
104,unrelated,0.3583270907,1,
105,agree,0.4985311329,0,
106,agree,0.5278836489,0,
107,unrelated,0.5553199649,1,
108,agree,0.4173882902,0,
109,unrelated,0.5599406958,1,
110,unrelated,0.3204756379,1,
111,unrelated,0.5353462696,1,
112,unrelated,0.422204107,1,
113,unrelated,0.1563348323,1,
114,unrelated,0.3242853284,1,
115,unrelated,0.2952026129,1,
116,unrelated,0.2588404119,1,
117,unrelated,0.3603275716,1,
118,unrelated,0.4300559461,1,
119,discuss,0.5580711365,0,
