"","x"
"1","discuss"
"2","discuss"
"3","discuss"
"4","discuss"
"5","agree"
"6","discuss"
"7","agree"
"8","agree"
"9","disagree"
"10","discuss"
"11","discuss"
"12","agree"
"13","discuss"
"14","discuss"
"15","discuss"
"16","discuss"
"17","discuss"
"18","discuss"
"19","agree"
"20","agree"
"21","agree"
"22","agree"
"23","discuss"
"24","discuss"
"25","discuss"
"26","discuss"
"27","discuss"
"28","disagree"
"29","agree"
"30","agree"
"31","discuss"
"32","disagree"
"33","discuss"
"34","discuss"
"35","agree"
"36","disagree"
"37","disagree"
"38","agree"
"39","agree"
"40","agree"
"41","disagree"
"42","discuss"
"43","agree"
"44","discuss"
"45","agree"
"46","discuss"
"47","discuss"
"48","discuss"
"49","discuss"
"50","discuss"
"51","agree"
"52","discuss"
"53","discuss"
"54","discuss"
"55","disagree"
"56","disagree"
"57","discuss"
"58","disagree"
"59","discuss"
"60","discuss"
"61","agree"
"62","agree"
"63","discuss"
"64","discuss"
"65","discuss"
"66","discuss"
"67","discuss"
"68","disagree"
"69","discuss"
"70","discuss"
"71","discuss"
"72","disagree"
"73","discuss"
"74","discuss"
"75","discuss"
"76","agree"
"77","agree"
"78","discuss"
"79","disagree"
"80","agree"
"81","discuss"
"82","discuss"
"83","discuss"
"84","discuss"
"85","agree"
"86","discuss"
"87","discuss"
"88","discuss"
"89","discuss"
"90","agree"
"91","discuss"
"92","discuss"
"93","agree"
"94","discuss"
"95","discuss"
"96","discuss"
"97","disagree"
"98","discuss"
"99","discuss"
"100","discuss"
"101","discuss"
"102","discuss"
"103","agree"
"104","discuss"
"105","agree"
"106","discuss"
"107","discuss"
"108","discuss"
"109","discuss"
"110","discuss"
"111","agree"
"112","agree"
"113","discuss"
"114","agree"
"115","discuss"
"116","discuss"
"117","discuss"
"118","discuss"
"119","discuss"
"120","discuss"
"121","discuss"
"122","agree"
"123","discuss"
"124","discuss"
"125","discuss"
"126","discuss"
"127","discuss"
"128","discuss"
"129","discuss"
"130","agree"
"131","agree"
"132","agree"
"133","discuss"
"134","discuss"
"135","discuss"
"136","discuss"
"137","discuss"
"138","agree"
"139","discuss"
"140","discuss"
"141","discuss"
"142","discuss"
"143","discuss"
"144","discuss"
"145","discuss"
"146","discuss"
"147","discuss"
"148","discuss"
"149","disagree"
"150","discuss"
"151","discuss"
"152","discuss"
"153","discuss"
"154","agree"
"155","discuss"
"156","discuss"
"157","discuss"
"158","discuss"
"159","discuss"
"160","discuss"
"161","discuss"
"162","discuss"
"163","discuss"
"164","discuss"
"165","disagree"
"166","agree"
"167","agree"
"168","discuss"
"169","discuss"
"170","discuss"
"171","discuss"
"172","discuss"
"173","discuss"
"174","agree"
"175","agree"
"176","disagree"
"177","discuss"
"178","agree"
"179","discuss"
"180","discuss"
"181","discuss"
"182","discuss"
"183","discuss"
"184","disagree"
"185","agree"
"186","discuss"
"187","discuss"
"188","discuss"
"189","discuss"
"190","discuss"
"191","discuss"
"192","discuss"
"193","agree"
"194","agree"
"195","disagree"
"196","agree"
"197","discuss"
"198","agree"
"199","discuss"
"200","discuss"
"201","discuss"
"202","discuss"
"203","discuss"
"204","discuss"
"205","discuss"
"206","discuss"
"207","agree"
"208","disagree"
"209","agree"
"210","agree"
"211","disagree"
"212","discuss"
"213","disagree"
"214","discuss"
"215","discuss"
"216","discuss"
"217","agree"
"218","discuss"
"219","agree"
"220","discuss"
"221","agree"
"222","discuss"
"223","discuss"
"224","agree"
"225","discuss"
"226","discuss"
"227","discuss"
"228","discuss"
"229","disagree"
"230","discuss"
"231","agree"
"232","discuss"
"233","disagree"
"234","discuss"
"235","agree"
"236","discuss"
"237","discuss"
"238","agree"
"239","disagree"
"240","discuss"
"241","agree"
"242","agree"
"243","discuss"
"244","discuss"
"245","discuss"
"246","discuss"
"247","agree"
"248","agree"
"249","agree"
