"","x"
"1","agree"
"2","disagree"
"3","agree"
"4","agree"
"5","agree"
"6","agree"
"7","agree"
"8","agree"
"9","agree"
"10","agree"
"11","disagree"
"12","agree"
"13","agree"
"14","agree"
"15","agree"
"16","agree"
"17","agree"
"18","agree"
"19","agree"
"20","agree"
"21","agree"
"22","agree"
"23","disagree"
"24","agree"
"25","disagree"
"26","agree"
"27","agree"
"28","agree"
"29","agree"
"30","agree"
"31","agree"
"32","disagree"
"33","disagree"
"34","disagree"
"35","agree"
"36","agree"
"37","agree"
"38","agree"
"39","agree"
"40","disagree"
"41","agree"
"42","disagree"
"43","disagree"
"44","agree"
"45","agree"
"46","agree"
"47","agree"
"48","agree"
"49","agree"
"50","disagree"
"51","disagree"
"52","agree"
"53","agree"
"54","agree"
"55","agree"
"56","agree"
"57","disagree"
"58","disagree"
"59","agree"
"60","agree"
"61","agree"
"62","agree"
"63","agree"
"64","agree"
"65","agree"
"66","agree"
"67","agree"
"68","agree"
"69","agree"
"70","agree"
"71","agree"
"72","agree"
"73","agree"
"74","agree"
"75","agree"
"76","agree"
"77","agree"
"78","agree"
"79","agree"
"80","agree"
"81","agree"
"82","agree"
"83","agree"
"84","agree"
"85","agree"
"86","disagree"
"87","agree"
"88","disagree"
"89","agree"
"90","agree"
"91","agree"
"92","agree"
"93","agree"
"94","agree"
"95","agree"
"96","agree"
"97","agree"
"98","agree"
"99","agree"
"100","agree"
"101","agree"
"102","agree"
"103","agree"
"104","agree"
"105","agree"
"106","agree"
"107","agree"
"108","agree"
"109","agree"
"110","agree"
"111","agree"
"112","agree"
"113","agree"
"114","agree"
"115","agree"
"116","agree"
"117","disagree"
"118","disagree"
"119","agree"
"120","agree"
"121","agree"
"122","agree"
"123","agree"
"124","agree"
"125","agree"
"126","agree"
"127","agree"
"128","disagree"
"129","agree"
"130","disagree"
"131","agree"
"132","agree"
"133","agree"
"134","agree"
"135","agree"
"136","agree"
"137","agree"
"138","agree"
"139","disagree"
"140","agree"
"141","agree"
"142","agree"
"143","agree"
"144","agree"
"145","agree"
"146","agree"
"147","agree"
"148","agree"
"149","disagree"
"150","agree"
"151","agree"
"152","agree"
"153","agree"
"154","agree"
"155","disagree"
"156","agree"
"157","disagree"
"158","disagree"
"159","agree"
"160","disagree"
"161","agree"
"162","agree"
"163","agree"
"164","agree"
"165","agree"
"166","agree"
"167","disagree"
"168","agree"
"169","agree"
"170","disagree"
"171","agree"
"172","agree"
"173","agree"
"174","agree"
"175","agree"
"176","disagree"
"177","agree"
"178","agree"
"179","disagree"
"180","agree"
"181","agree"
"182","agree"
"183","agree"
"184","agree"
"185","agree"
"186","agree"
"187","disagree"
"188","agree"
"189","agree"
"190","agree"
"191","agree"
"192","agree"
"193","agree"
"194","agree"
"195","agree"
"196","agree"
"197","agree"
"198","disagree"
"199","agree"
"200","disagree"
"201","agree"
"202","agree"
"203","agree"
"204","agree"
"205","agree"
"206","agree"
"207","agree"
"208","agree"
"209","agree"
"210","disagree"
"211","disagree"
"212","agree"
"213","agree"
"214","agree"
"215","agree"
"216","disagree"
"217","agree"
"218","agree"
"219","agree"
"220","agree"
"221","agree"
"222","agree"
"223","agree"
"224","agree"
"225","disagree"
"226","agree"
"227","disagree"
"228","agree"
"229","agree"
"230","agree"
"231","agree"
"232","agree"
"233","agree"
"234","agree"
"235","agree"
"236","disagree"
"237","agree"
"238","agree"
"239","agree"
"240","agree"
"241","disagree"
"242","agree"
"243","agree"
"244","agree"
"245","agree"
"246","agree"
"247","agree"
"248","agree"
"249","agree"
"250","agree"
"251","agree"
"252","disagree"
"253","agree"
"254","disagree"
"255","agree"
"256","agree"
"257","agree"
"258","agree"
"259","agree"
"260","agree"
"261","agree"
"262","agree"
"263","agree"
"264","agree"
"265","agree"
"266","disagree"
"267","disagree"
"268","agree"
"269","agree"
"270","agree"
"271","agree"
"272","agree"
"273","agree"
"274","agree"
"275","agree"
"276","agree"
"277","agree"
"278","agree"
"279","agree"
"280","disagree"
"281","agree"
"282","agree"
"283","agree"
"284","agree"
"285","agree"
"286","agree"
"287","disagree"
"288","agree"
"289","agree"
"290","agree"
"291","agree"
"292","agree"
"293","agree"
"294","agree"
"295","agree"
"296","agree"
"297","agree"
"298","agree"
"299","agree"
"300","agree"
"301","agree"
"302","agree"
"303","agree"
"304","agree"
"305","agree"
"306","agree"
"307","agree"
"308","agree"
"309","agree"
"310","agree"
"311","agree"
"312","agree"
"313","agree"
"314","agree"
"315","agree"
"316","agree"
"317","agree"
"318","agree"
"319","agree"
"320","disagree"
"321","agree"
"322","agree"
"323","disagree"
"324","agree"
"325","agree"
"326","agree"
"327","agree"
"328","disagree"
"329","agree"
"330","agree"
"331","agree"
"332","agree"
"333","agree"
"334","agree"
"335","agree"
"336","agree"
"337","agree"
"338","agree"
"339","disagree"
"340","agree"
"341","agree"
"342","agree"
"343","agree"
"344","agree"
"345","agree"
"346","agree"
"347","agree"
"348","disagree"
"349","agree"
"350","agree"
"351","disagree"
"352","agree"
"353","agree"
"354","agree"
"355","agree"
"356","agree"
"357","agree"
"358","disagree"
"359","agree"
"360","agree"
"361","agree"
"362","agree"
"363","agree"
"364","disagree"
"365","agree"
"366","agree"
"367","agree"
"368","agree"
"369","agree"
"370","disagree"
